object,size,speed-60,speed-90,speed-120,speed-140
piw,1,1.5,1,0.8,0.7
raft,1,1.3,1,0.9,0.8
raft,4,1.3,1,0.9,0.8
raft,6,1.2,1,0.9,0.8
raft,8,1.2,1,0.9,0.8
raft,10,1.2,1,0.9,0.8
raft,15,1.2,1,0.9,0.8
raft,20,1.2,1,0.9,0.8
raft,25,1.2,1,0.9,0.8
boat_power,15,1.2,1,0.9,0.8
boat_power,20,1.2,1,0.9,0.8
boat_power,33,1.1,1,0.9,0.9
boat_power,53,1.1,1,0.9,0.9
boat_power,78,1.1,1,1,0.9
boat_sail,15,1.2,1,0.9,0.9
boat_sail,20,1.2,1,0.9,0.9
boat_sail,25,1.2,1,0.9,0.9
boat_sail,30,1.1,1,0.9,0.9
boat_sail,40,1.1,1,0.9,0.9
boat_sail,50,1.1,1,0.9,0.9
boat_sail,70,1.1,1,1,0.9
boat_sail,83,1.1,1,1,0.9
ship,120,1.1,1,1,0.9
ship,225,1.1,1,1,0.9
ship,300,1.1,1,1,0.9