object,size,altitude,visibility-1,visibility-3,visibility-5,visibility-10,visibility-15,visibility-20,visibility-30
piw,1,300,0.1,0.1,0.1,0.1,0.1,0.1,0.1
raft,1,300,0.4,0.9,1.2,1.5,1.7,1.7,1.7
raft,4,300,0.5,1.2,1.6,2.2,2.5,2.7,2.7
raft,6,300,0.5,1.4,1.9,2.7,3.1,3.4,3.4
raft,8,300,0.6,1.4,2,2.8,3.3,3.6,3.6
raft,10,300,0.6,1.5,2.1,3,3.6,3.9,3.9
raft,15,300,0.6,1.6,2.3,3.3,3.9,4.3,4.9
raft,20,300,0.6,1.8,2.6,3.8,4.5,5.1,5.8
raft,25,300,0.6,1.9,2.7,4.1,4.9,5.5,6.3
boat_power,15,300,0.5,1.1,1.4,1.9,2.1,2.2,2.2
boat_power,20,300,0.7,2,2.9,4.3,5.2,5.8,5.8
boat_power,33,300,0.8,2.5,3.8,6.1,7.7,8.9,10.6
boat_power,53,300,0.8,3.1,5.1,9.2,12.2,14.7,18.5
boat_power,78,300,0.8,3.3,5.7,10.8,15,18.4,23.9
boat_sail,15,300,0.7,1.9,2.7,3.9,4.6,5.2,5.2
boat_sail,20,300,0.7,2.2,3.2,4.8,5.9,6.6,6.6
boat_sail,25,300,0.8,2.4,3.6,5.7,7.1,8.1,8.1
boat_sail,30,300,0.8,2.7,4.2,6.8,8.7,10.1,12.2
boat_sail,40,300,0.8,3,4.9,8.6,11.3,13.4,16.7
boat_sail,50,300,0.8,3.1,5.2,9.5,12.7,15.3,19.3
boat_sail,70,300,0.8,3.2,5.5,10.3,14.1,17.2,22.1
boat_sail,83,300,0.8,3.3,5.7,11,15.2,18.7,24.3
ship,120,300,0.8,3.4,6,12.2,17.4,21.9,29.3
ship,225,300,0.8,3.4,6.3,13.6,20.4,26.6,37.7
ship,300,300,0.8,3.5,6.4,14.3,22.1,29.8,43.8
piw,1,500,0,0.1,0.1,0.1,0.1,0.1,0.1
raft,1,500,0.4,0.9,1.2,1.6,1.8,1.8,1.8
raft,4,500,0.5,1.2,1.6,2.2,2.6,2.8,2.8
raft,6,500,0.5,1.4,1.9,2.7,3.2,3.5,3.5
raft,8,500,0.6,1.5,2,2.8,3.3,3.7,3.7
raft,10,500,0.6,1.6,2.2,3.1,3.6,4,4
raft,15,500,0.6,1.7,2.3,3.3,4,4.4,5
raft,20,500,0.6,1.8,2.6,3.8,4.6,5.1,5.9
raft,25,500,0.6,1.9,2.7,4.1,5,5.6,6.4
boat_power,15,500,0.5,1.2,1.5,1.9,2.2,2.3,2.3
boat_power,20,500,0.7,2,2.9,4.3,5.2,5.8,5.8
boat_power,33,500,0.8,2.5,3.9,6.2,7.8,9,10.7
boat_power,53,500,0.8,3.1,5.1,9.2,12.3,14.7,18.5
boat_power,78,500,0.8,3.3,5.7,10.8,15,18.4,23.9
boat_sail,15,500,0.7,1.9,2.7,3.9,4.7,5.2,5.2
boat_sail,20,500,0.7,2.2,3.2,4.8,5.9,6.7,6.7
boat_sail,25,500,0.8,2.4,3.7,5.7,7.1,8.2,8.2
boat_sail,30,500,0.8,2.7,4.2,6.9,8.7,10.2,12.3
boat_sail,40,500,0.8,3,4.9,8.3,11.3,13.5,16.8
boat_sail,50,500,0.8,3.1,5.2,9.5,12.7,15.3,19.4
boat_sail,70,500,0.8,3.2,5.5,10.4,14.1,17.3,22.2
boat_sail,83,500,0.8,3.3,5.7,11,15.2,18.7,24.4
ship,120,500,0.8,3.4,6,12.2,17.4,21.9,29.3
ship,225,500,0.8,3.4,6.3,13.6,20.4,26.6,37.3
ship,300,500,0.8,3.5,6.4,14.3,22.1,29.8,43.8
piw,1,750,0,0.1,0.1,0.1,0.1,0.1,0.1
raft,1,750,0.4,0.9,1.2,1.6,1.7,1.8,1.8
raft,4,750,0.5,1.2,1.7,2.3,2.6,2.8,2.8
raft,6,750,0.5,1.4,2,2.7,3.2,3.5,3.5
raft,8,750,0.5,1.5,2.1,2.9,3.4,3.7,3.7
raft,10,750,0.6,1.6,2.2,3.1,3.7,4,4
raft,15,750,0.6,1.7,2.4,3.4,4,4.5,5
raft,20,750,0.6,1.8,2.6,3.9,4.6,5.2,5.9
raft,25,750,0.6,1.9,2.8,4.2,5,5.6,6.5
boat_power,15,750,0.5,1.2,1.6,2,2.3,2.4,2.4
boat_power,20,750,0.7,2,2.9,4.4,5.3,5.9,5.9
boat_power,33,750,0.7,2.5,3.9,6.2,7.8,9,10.7
boat_power,53,750,0.8,3.1,5.1,9.2,12.3,14.7,18.5
boat_power,78,750,0.8,3.3,5.7,10.9,15,18.4,23.9
boat_sail,15,750,0.7,1.9,2.7,4,4.8,5.3,5.3
boat_sail,20,750,0.7,2.2,3.2,4.9,6,6.7,6.7
boat_sail,25,750,0.7,2.5,3.7,5.8,7.2,8.3,8.3
boat_sail,30,750,0.8,2.7,4.2,6.9,8.8,10.2,12.3
boat_sail,40,750,0.8,3,4.9,8.6,11.3,13.5,16.8
boat_sail,50,750,0.8,3.1,5.3,9.5,12.7,15.4,19.4
boat_sail,70,750,0.8,3.2,5.5,10.4,14.2,17.3,22.2
boat_sail,83,750,0.8,3.3,5.7,11,15.2,18.8,24.4
ship,120,750,0.8,3.4,6,12.2,17.4,21.9,29.3
ship,225,750,0.8,3.4,6.3,13.6,20.4,26.6,37.3
ship,300,750,0.8,3.5,6.4,14.3,22.2,29.8,43.8
piw,1,1000,0,0.1,0.1,0.1,0.1,0.1,0.1
raft,1,1000,0.4,0.9,1.2,1.6,1.8,1.8,1.8
raft,4,1000,0.5,1.2,1.7,2.3,2.6,2.9,2.9
raft,6,1000,0.5,1.4,2,2.8,3.2,3.5,3.5
raft,8,1000,0.5,1.5,2.1,2.9,3.4,3.8,3.8
raft,10,1000,0.5,1.6,2.2,3.2,3.7,4.1,4.1
raft,15,1000,0.6,1.7,2.4,3.5,4.1,4.5,5.1
raft,20,1000,0.6,1.8,2.7,3.9,4.7,5.2,6
raft,25,1000,0.6,1.9,2.8,4.2,5.1,5.7,6.5
boat_power,15,1000,0.5,1.2,1.6,2.1,2.3,2.5,2.5
boat_power,20,1000,0.7,2.1,3,4.4,5.3,5.9,5.9
boat_power,33,1000,0.7,2.6,3.9,6.3,7.9,9.1,10.8
boat_power,53,1000,0.7,3.1,5.2,9.2,12.3,14.8,18.6
boat_power,78,1000,0.8,3.3,5.7,10.9,15,18.5,23.9
boat_sail,15,1000,0.6,1.9,2.8,4,4.8,5.4,5.4
boat_sail,20,1000,0.7,2.2,3.2,4.9,6,6.8,6.8
boat_sail,25,1000,0.7,2.5,3.7,5.8,7.3,8.3,8.3
boat_sail,30,1000,0.7,2.7,4.2,6.9,8.8,10.3,12.4
boat_sail,40,1000,0.7,3,4.9,8.6,11.4,13.5,16.8
boat_sail,50,1000,0.7,3.1,5.3,9.5,12.8,15.4,19.5
boat_sail,70,1000,0.8,3.2,5.6,10.4,14.2,17.3,22.2
boat_sail,83,1000,0.8,3.3,5.7,11,15.3,18.8,24.4
ship,120,1000,0.8,3.4,6,12.2,17.4,21.9,29.3
ship,225,1000,0.8,3.4,6.3,13.6,20.4,26.6,37.3
ship,300,1000,0.8,3.5,6.4,14.3,22.2,29.8,43.9